%time,field.data
1557305777511311104,0.0
1557305777519078093,0.0
1557305777531406005,0.0
1557305777539628129,0.0
1557305777547912353,0.0
1557305777560016309,0.0
1557305777568256568,0.0
1557305777580553036,0.0
1557305777588727625,0.0
1557305777601224422,0.0
1557305777609302560,0.0
1557305777621407846,0.0
1557305777629699335,0.0
1557305777637987840,0.0
1557305777650491452,0.0
1557305777658511528,0.0
1557305777670943742,0.0
1557305777679359821,0.0
1557305777691041014,0.0
1557305777699308445,0.0
1557305777711825630,0.0
1557305777720281510,0.0
1557305777728005001,0.0
1557305777740667769,0.0
1557305777748437387,0.0
1557305777761037793,0.0
1557305777769170610,0.0
1557305777781141598,0.0
1557305777789637431,0.0
1557305777798133519,0.0
1557305777810108029,0.0
1557305777818266314,0.0
1557305777830695785,0.0
1557305777838605677,0.0
1557305777850908553,0.0
1557305777859188060,0.0
1557305777871452873,0.0
1557305777879531673,0.0
1557305777887902884,0.0
1557305777900210615,0.0
1557305777908313007,0.0
1557305777920557882,0.0
1557305777928721917,0.0
1557305777940834410,0.0
1557305777949108778,0.0
1557305777961239853,0.0
1557305777969581143,0.0
1557305777977982724,0.0
1557305777990130127,0.0
1557305777998253633,0.0
1557305778010573525,0.0
1557305778018910845,0.0
1557305778031101522,0.0
1557305778039337583,0.0
1557305778051542633,0.0
1557305778059661826,0.0
1557305778067924391,0.0
1557305778080210562,0.0
1557305778088252546,0.0
1557305778100572462,0.0
1557305778108981217,0.0
1557305778121220081,0.0
1557305778129456981,0.0
1557305778137747217,0.0
1557305778149901378,0.0
1557305778158205679,0.0
1557305778170569856,0.0
1557305778178737428,0.0
1557305778191152242,0.0
1557305778199478426,0.0
1557305778211483021,0.0
1557305778219546614,0.0
1557305778227933497,0.0
1557305778240063608,0.0
1557305778248192996,0.0
1557305778260632208,0.0
1557305778268638928,0.0
1557305778280896686,0.0
1557305778289285950,0.0
1557305778301560962,0.0
1557305778309722014,0.0
1557305778318144364,0.0
1557305778330396943,0.0
1557305778338654483,0.0
1557305778350910944,0.0
1557305778359076285,0.0
1557305778371032809,0.0
1557305778379504140,0.0
1557305778391591967,0.0
1557305778399782729,0.0
1557305778408147023,0.0
1557305778420403309,0.0
1557305778428721120,0.0
1557305778440814311,0.0
1557305778448956089,0.0
1557305778461236929,0.0
1557305778469577105,0.0
1557305778481645272,0.0
1557305778489778968,0.0
1557305778498114179,0.0
1557305778510463310,0.0
1557305778518658572,0.0
1557305778531072482,0.0
1557305778539095929,0.0
1557305778551399471,0.0
1557305778559450615,0.0
1557305778567812931,0.0
1557305778579893773,0.0
1557305778588133207,0.0
1557305778600574218,0.0
1557305778608677570,0.0
1557305778621031465,0.0
1557305778629345208,0.0
1557305778641334393,0.0
1557305778649619022,0.0
1557305778658053549,0.0
1557305778670129797,0.0
